player_id,season,date,age,from_club_id,from_country,to_club_id,to_country,market_value,fee,transfer_type
282150,25/26,2026-01-01T00:00:00+01:00,28,515,0,55227,167,275000,,STANDARD
282150,25/26,2025-07-01T00:00:00+02:00,28,91,40,515,0,300000,,STANDARD
282150,23/24,2023-07-05T00:00:00+02:00,26,2,40,91,40,225000,,STANDARD
282150,18/19,2018-07-01T00:00:00+02:00,21,65,40,2,40,300000,,STANDARD
282150,16/17,2016-07-01T00:00:00+02:00,19,2612,40,65,40,100000,,STANDARD
282150,14/15,2014-07-01T00:00:00+02:00,17,21077,40,2612,40,0,,STANDARD
282150,12/13,2012-07-01T00:00:00+02:00,15,20465,40,21077,40,0,,STANDARD
282150,11/12,2011-07-01T00:00:00+02:00,14,38880,40,20465,40,0,,STANDARD
